,SEC_INT,P1,P2$01,P4,DEPTO_MUNI,P7_NO_PERNOC,P7_SI_PERNOC,P9_#EXCURSION,DEP_MUN_LUG,P11_MOTIVO_EXCURSION,P13_GASTO_EXCURSION,P14_#PER_EXCURSION,P16_#EXCUR_CONPERNOC,SUMA_PUNTOS,EDAD,PROFESION,OCUPACION,GENERO,VIA_VIAJE,P18_#NOCHES1,P19_#PERSON1,P20_MOTIVO_1,P21_ALOJ_1,P22_PER_GAS_1,P24_VIAJE_ORG,P26_TRASPORTE,P27_DG_SUMA,P17_DESTINO1
2049,19040021,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,1.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,16,46,ABOGADO Y NOTARIO,ABOGADO,Masculino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
2051,19040021,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,8.0,2.0,IZABAL_AMATES_RUINAS DE QUIRIGUA,"Ocio, recreo y/o vacaciones",300.0,3.0,3.0,11,23,PERITO EN MERCADOTECNIA,ARTESANIAS FUNEBRES,Masculino,Sí,2.0,3.0,"Ocio, recreo y/o vacaciones",Hotel o similares,3.0,Por su cuenta,Vehículo,1775.0,IZABAL_LIVINGSTON_CASTILLO DE SAN FELIPE
2052,19040021,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,6.0,2.0,IZABAL_AMATES_RUINAS DE QUIRIGUA,"Ocio, recreo y/o vacaciones",300.0,3.0,3.0,11,23,PERITO EN MERCADOTECNIA,ARTESANIAS FUNEBRES,Masculino,Sí,1.0,3.0,"Ocio, recreo y/o vacaciones",Hotel o similares,3.0,Por su cuenta,Vehículo,910.0,BAJA VERAPAZ_RABINAL_RABINAL
2053,19040021,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,8.0,2.0,IZABAL_AMATES_RUINAS DE QUIRIGUA,"Ocio, recreo y/o vacaciones",300.0,3.0,3.0,11,23,PERITO EN MERCADOTECNIA,ARTESANIAS FUNEBRES,Masculino,Sí,1.0,3.0,"Ocio, recreo y/o vacaciones",Hotel o similares,3.0,Por su cuenta,Vehículo,1130.0,SACATEPUEQUEZ_ANTIGUA GUATEMALA_CENTRO HISTORICO
2054,19040021,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,7.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,6,29,SECRETARIA,COMERCIANTE,Femenino,Sí,2.0,4.0,Visita a familiares y/o amigos,Casa de amigos o familiares,4.0,Por su cuenta,Bus regional,700.0,QUETZALTENANGO_QUETZALTENANGO_CENTRO HISTORICO
2055,19040021,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,2.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,6,29,SECRETARIA,COMERCIANTE,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
2057,19040021,Si,Año nuevo (año 2017),No dispone de segunda vivienda,NINGUNO,3.0,2.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,8,70,COCINERA,COCINERA,Femenino,Sí,1.0,5.0,"Ocio, recreo y/o vacaciones",Otros,15.0,Reserva individual,Bus regional,450.0,IZABAL_AMATES_PLAYA DORADA
2058,19040021,Si,Año nuevo (año 2017),No dispone de segunda vivienda,NINGUNO,3.0,4.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,8,70,COCINERA,COCINERA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
2060,39060011,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,3.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,10,21,AMA DE CASA,OFICIOS DOMESTICOS,Femenino,Sí,2.0,3.0,"Ocio, recreo y/o vacaciones",Casa de amigos o familiares,3.0,Por su cuenta,Bus regional,230.0,ALTA VERAPAZ_CARCHA_VISITA FAMILIAR
2061,39060011,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,3.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,10,21,AMA DE CASA,OFICIOS DOMESTICOS,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
2063,39060011,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,4.0,1.0,PETEN_FLORES_TIKAL,"Ocio, recreo y/o vacaciones",2000.0,4.0,1.0,10,41,BACHILLER EN CIENCIAS Y LETRAS,ENFERMERO DEL AREA DE SALUD,Masculino,Sí,2.0,3.0,Visita a familiares y/o amigos,Casa de amigos o familiares,3.0,Por su cuenta,Bus regional,415.0,BAJA VERAPAZ_RABINAL_CERRO CAJYUB
2064,39060011,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,0.0,1.0,PETEN_FLORES_TIKAL,"Ocio, recreo y/o vacaciones",2000.0,4.0,1.0,10,41,BACHILLER EN CIENCIAS Y LETRAS,ENFERMERO DEL AREA DE SALUD,Masculino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
2066,39060011,Si,Semana Santa,"Sí, es de su propiedad",JALAPA_JALAPA,3.0,5.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,11,58,TECNICO EN ELECTRICIDAD INDUSTRIAL,SECRETARIO DE JUZGADO DE ASUNTOS MUNICIPALES,Masculino,Sí,3.0,3.0,"Ocio, recreo y/o vacaciones",Hotel o similares,3.0,Por su cuenta,Vehículo,1800.0,SANTA ROSA_CHIQUILULILLA_LAS LISAS
2067,39060011,Si,Semana Santa,"Sí, es de su propiedad",JALAPA_JALAPA,3.0,5.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,11,58,TECNICO EN ELECTRICIDAD INDUSTRIAL,SECRETARIO DE JUZGADO DE ASUNTOS MUNICIPALES,Masculino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
2069,39060011,Si,Año nuevo (año 2017),No dispone de segunda vivienda,NINGUNO,3.0,4.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,11,23,AMA DE CASA (6TO. PRIMARIA),OFICIOS DOMESTICOS,Femenino,Sí,2.0,3.0,"Ocio, recreo y/o vacaciones",Casa de amigos o familiares,3.0,Por su cuenta,Bus regional,250.0,ALTA VERAPAZ_SAN PEDRO CARCHA_VISITA FAMILIAR
2070,39060011,Si,Año nuevo (año 2017),No dispone de segunda vivienda,NINGUNO,3.0,0.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,11,23,AMA DE CASA (6TO. PRIMARIA),OFICIOS DOMESTICOS,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
2072,39060011,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,8.0,1.0,ALTA VERAPAZ_COBAN_VISITA A FAMILIA,Visita a familiares y amigos,300.0,5.0,1.0,8,45,AMA DE CASA,OFICIOS DOMESTICOS,Femenino,Sí,2.0,5.0,"Ocio, recreo y/o vacaciones",Casa de amigos o familiares,5.0,Por su cuenta,Bus regional,400.0,GUATEMALA_GUATEMALA_VISITA FAMILIAR
2073,39060011,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,4.0,1.0,ALTA VERAPAZ_COBAN_VISITA A FAMILIA,Visita a familiares y amigos,300.0,5.0,1.0,8,45,AMA DE CASA,OFICIOS DOMESTICOS,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
2075,39060011,Si,Otros,No dispone de segunda vivienda,NINGUNO,3.0,0.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,2,34,AMA DE CASA,AMA DE CASA,Femenino,Sí,1.0,3.0,Tratamientos de salud,Otros,3.0,Por su cuenta,Vehículo,295.0,ALTA VERAPAZ_COBAN_HOSPITAL
2076,39060011,Si,Otros,No dispone de segunda vivienda,NINGUNO,3.0,12.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,2,34,AMA DE CASA,AMA DE CASA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
2078,9020042,Si,Vacaciones personales,"Sí, es de familiares o amigos",CHIQUIMULA_CHIQUIMULA,3.0,1.0,2.0,RETALHULEU_SAN ANDRES VIA SECA_PLAYA TULATE,"Ocio, recreo y/o vacaciones",0.0,4.0,1.0,14,26,UNIVERSITARIO,ASISTENTE,Masculino,Sí,3.0,3.0,"Ocio, recreo y/o vacaciones",Hotel o similares,3.0,Por su cuenta,Bus regional,6350.0,ALTA VERAPAZ_COBAN_LAS GRUTAS DEL MARCOS
2079,9020042,Si,Vacaciones personales,"Sí, es de familiares o amigos",CHIQUIMULA_CHIQUIMULA,3.0,1.0,2.0,RETALHULEU_SAN ANDRES VIA SECA_PLAYA TULATE,"Ocio, recreo y/o vacaciones",0.0,4.0,1.0,14,26,UNIVERSITARIO,ASISTENTE,Masculino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
2081,9020042,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,3.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,8,60,AMA DE CASA,AMA DE CASA,Femenino,Sí,2.0,2.0,"Ocio, recreo y/o vacaciones",Hotel o similares,2.0,Por su cuenta,Vehículo,1400.0,SANTA ROSA_TAXISCO_MONTERRICO
2082,9020042,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,2.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,8,60,AMA DE CASA,AMA DE CASA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
2084,9020042,Si,Otros,No dispone de segunda vivienda,NINGUNO,3.0,4.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,13,31,AMA DE CASA,AMA DE CASA,Femenino,Sí,1.0,3.0,"Ocio, recreo y/o vacaciones",Hotel o similares,3.0,Por su cuenta,Vehículo,1700.0,SOLOLA_PANAJACHEL_LAGO DE ATITLAN
2085,9020042,Si,Otros,No dispone de segunda vivienda,NINGUNO,3.0,4.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,13,31,AMA DE CASA,AMA DE CASA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
2087,9020042,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,1.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,4,70,AMA DE CASA,AMA DE CASA,Femenino,Sí,1.0,7.0,Religión y peregrinación,Hotel o similares,7.0,Por su cuenta,Bus regional,1525.0,CHIQUIMULA_ESQUIPULAS_BASILICA
2088,9020042,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,12.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,4,70,AMA DE CASA,AMA DE CASA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
2090,3070011,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,0.0,9.0,CHIMALTENANGO_CHIMALTENANGO_PARQUE CENTRAL Y A PRADERA,Otros,100.0,1.0,1.0,16,24,MAESTRA DE PRIMARIA,ESTUDIANTE,Femenino,Sí,3.0,3.0,"Ocio, recreo y/o vacaciones",Hotel o similares,3.0,Por su cuenta,Vehículo,3230.0,CHIQUIMULA_CHIQUIMULA_ESQUIPULAS
2091,3070011,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,4.0,9.0,CHIMALTENANGO_CHIMALTENANGO_PARQUE CENTRAL Y A PRADERA,Otros,100.0,1.0,1.0,16,24,MAESTRA DE PRIMARIA,ESTUDIANTE,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
2093,3070011,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,3.0,3.0,ESCUINTLA_SAN JOSE_PUERTO SAN JOSE,"Ocio, recreo y/o vacaciones",700.0,4.0,1.0,18,40,VSITADORA MEDICO,COMERCIANTE,Femenino,Sí,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,580.0,SOLOLA_PANAJACHEL_LAGO DE PANAJACHEL
2094,3070011,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,4.0,3.0,ESCUINTLA_SAN JOSE_PUERTO SAN JOSE,"Ocio, recreo y/o vacaciones",700.0,4.0,1.0,18,40,VSITADORA MEDICO,COMERCIANTE,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
2096,3070011,Si,Semana Santa,"Sí, es de su propiedad","ESCUINTLA_ESCUINTLA, EL RODEO",3.0,4.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,3.0,10,33,LICENCIADA DE LA COMUNICACION,VENTAS,Femenino,Sí,5.0,2.0,"Ocio, recreo y/o vacaciones",Casa de amigos o familiares,2.0,Por su cuenta,Vehículo,2000.0,ALTA VERAPAZ_LAQUIN_GRUTAS DE LAQUIN
2097,3070011,Si,Semana Santa,"Sí, es de su propiedad","ESCUINTLA_ESCUINTLA, EL RODEO",3.0,4.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,3.0,10,33,LICENCIADA DE LA COMUNICACION,VENTAS,Femenino,Sí,4.0,2.0,"Ocio, recreo y/o vacaciones",Hotel o similares,2.0,Por su cuenta,Vehículo,6100.0,SACATEPEQUEZ_ANTIGUA_EL MIRADOR
2098,3070011,Si,Semana Santa,"Sí, es de su propiedad","ESCUINTLA_ESCUINTLA, EL RODEO",3.0,4.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,3.0,10,33,LICENCIADA DE LA COMUNICACION,VENTAS,Femenino,Sí,8.0,2.0,"Ocio, recreo y/o vacaciones",Hotel o similares,2.0,Paquete turístico,Otros,600.0,IZABAL_IZABAL_CASTILLO SAN FELIPE
2099,3070011,Si,Otros,"Sí, es de familiares o amigos","SAN MARCOS_OCOS, PARCELAMIETO LA BLANCA",3.0,1.0,3.0,ESCUINTLA_ESCUINTLA_VISITA FAMILIAR,Visita a familiares y amigos,0.0,2.0,1.0,10,62,AMA DE CASA,AMA DE CSA,Femenino,Sí,3.0,2.0,Visita a familiares y/o amigos,Casa de amigos o familiares,2.0,Por su cuenta,Bus turístico,5200.0,IZABAL_PUERTO BARRIOS_POZA AZUL
2100,3070011,Si,Otros,"Sí, es de familiares o amigos","SAN MARCOS_OCOS, PARCELAMIETO LA BLANCA",3.0,1.0,3.0,ESCUINTLA_ESCUINTLA_VISITA FAMILIAR,Visita a familiares y amigos,0.0,2.0,1.0,10,62,AMA DE CASA,AMA DE CSA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
2102,3070011,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,12.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,2.0,12,62,DISE!ADOR GRAFICO,JUBILADO,Masculino,Sí,5.0,1.0,"Ocio, recreo y/o vacaciones",Casa de amigos o familiares,1.0,Por su cuenta,Vehículo,4000.0,"IZABAL_PUERTO BARRIOS_ENTRE RIOS, PLAYA"
2103,3070011,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,7.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,2.0,12,62,DISE!ADOR GRAFICO,JUBILADO,Masculino,Sí,2.0,1.0,"Ocio, recreo y/o vacaciones",Hotel o similares,1.0,Por su cuenta,Vehículo,900.0,ESCUINTLA_TIQUISATE_RIO BRAVO
2104,3070011,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,2.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,2.0,12,62,DISE!ADOR GRAFICO,JUBILADO,Masculino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
2105,30040013,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,10.0,1.0,JALAPA_MATAQUESCUINTLA_PINO DULCE,"Ocio, recreo y/o vacaciones",250.0,2.0,1.0,8,48,"6TO. PRIMARIA, AMA DE CASA",AMA DE CASA,Femenino,Sí,1.0,4.0,Religión y peregrinación,Hotel o similares,4.0,Por su cuenta,Bus regional,1400.0,CHIQUIMULA_ESQUIPULAS_TEMPLO
2106,30040013,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,5.0,1.0,JALAPA_MATAQUESCUINTLA_PINO DULCE,"Ocio, recreo y/o vacaciones",250.0,2.0,1.0,8,48,"6TO. PRIMARIA, AMA DE CASA",AMA DE CASA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
2108,30040013,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,8.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,4,32,PERITO CONTADOR,EN CONTABILIDAD,Femenino,Sí,1.0,5.0,Religión y peregrinación,Hotel o similares,5.0,Reserva individual,Bus regional,1290.0,CHIQUIMULA_ESQUIPULAS_TEMPLO
2109,30040013,Si,Paseo / excursión,No dispone de segunda vivienda,NINGUNO,3.0,1.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,4,32,PERITO CONTADOR,EN CONTABILIDAD,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
2111,30040011,Si,Día de Esquipulas,No dispone de segunda vivienda,NINGUNO,3.0,6.0,4.0,CHIQUMULA_ESQUIPULAS_TEMPLO,"Ocio, recreo y/o vacaciones",1500.0,12.0,2.0,10,23,BACHILLER,AGRICULTOR,Masculino,Sí,1.0,12.0,"Ocio, recreo y/o vacaciones",Hotel o similares,12.0,Por su cuenta,Vehículo,1800.0,IZABAL_PUERTO BARRIOS_PLAYA DORADA
2112,30040011,Si,Día de Esquipulas,No dispone de segunda vivienda,NINGUNO,3.0,3.0,4.0,CHIQUMULA_ESQUIPULAS_TEMPLO,"Ocio, recreo y/o vacaciones",1500.0,12.0,2.0,10,23,BACHILLER,AGRICULTOR,Masculino,Sí,1.0,12.0,"Ocio, recreo y/o vacaciones",Hotel o similares,12.0,Por su cuenta,Vehículo,1475.0,CHIQUIMULA_ESQUIPULAS_TEMPLO
2113,30040011,Si,Día de Esquipulas,No dispone de segunda vivienda,NINGUNO,3.0,5.0,4.0,CHIQUMULA_ESQUIPULAS_TEMPLO,"Ocio, recreo y/o vacaciones",1500.0,12.0,2.0,10,23,BACHILLER,AGRICULTOR,Masculino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
2114,30040013,Si,Otros,No dispone de segunda vivienda,NINGUNO,3.0,1.0,1.0,GUATEMALA_GUATEMALA_COMERCIAL CENTRAL NORTE,"Ocio, recreo y/o vacaciones",200.0,5.0,1.0,6,39,"6TO. PRIMARIA, AMA DE CASA",AMA DE CASA,Femenino,Sí,1.0,5.0,Religión y peregrinación,Hotel o similares,5.0,Reserva individual,Bus turístico,1220.0,CHIQUIMULA_ESQUIPULAS_TEMPLO
2115,30040013,Si,Otros,No dispone de segunda vivienda,NINGUNO,3.0,4.0,1.0,GUATEMALA_GUATEMALA_COMERCIAL CENTRAL NORTE,"Ocio, recreo y/o vacaciones",200.0,5.0,1.0,6,39,"6TO. PRIMARIA, AMA DE CASA",AMA DE CASA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
2117,30040013,Si,Noche buena (año 2017),"Sí, es de familiares o amigos",GUATEMALA_GUATEMALA,3.0,12.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,3.0,8,95,6TO. PRIMARIA,COMADRONA,Femenino,Sí,3.0,2.0,Visita a familiares y/o amigos,Casa de amigos o familiares,2.0,No organizó,Bus regional,275.0,ESCUINTLA_MASAGUA_RIOS EL MILAGRO
2118,30040013,Si,Noche buena (año 2017),"Sí, es de familiares o amigos",GUATEMALA_GUATEMALA,3.0,12.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,3.0,8,95,6TO. PRIMARIA,COMADRONA,Femenino,Sí,4.0,2.0,Visita a familiares y/o amigos,Casa de amigos o familiares,2.0,No organizó,Bus regional,450.0,ESCUINTLA_SANTA LUCIA COTZULMAGUAPA_IGLESIA SANTA LUCIA
2119,30040013,Si,Noche buena (año 2017),"Sí, es de familiares o amigos",GUATEMALA_GUATEMALA,3.0,12.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,3.0,8,95,6TO. PRIMARIA,COMADRONA,Femenino,Sí,5.0,2.0,"Ocio, recreo y/o vacaciones",Hotel o similares,2.0,No organizó,Bus regional,0.0,PETEN_FLORES_TIKAL
2120,30040013,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,7.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,4,44,5TO. PRIMARIA,AMA DE CASA,Femenino,Sí,2.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Bus turístico,1050.0,CHIQUIMULA_ESQUIPULAS_TEMPLO
2121,30040013,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,7.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,4,44,5TO. PRIMARIA,AMA DE CASA,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
2123,30040022,Si,Semana Santa,"Sí, es de familiares o amigos",ZACAPA_GUALAN,3.0,1.0,2.0,GUATEMALA_AMATITLAN_AL LAGO,"Ocio, recreo y/o vacaciones",500.0,3.0,1.0,11,33,BACHILLER CC LL,TRABAJA REPRESENTANTE DE VENTAS,Masculino,Sí,2.0,3.0,"Ocio, recreo y/o vacaciones",Hotel o similares,3.0,Por su cuenta,Bus regional,580.0,QUETZALTENANGO_QUETZALTENANGO_PARQUE CENTRAL
2124,30040022,Si,Semana Santa,"Sí, es de familiares o amigos",ZACAPA_GUALAN,3.0,1.0,2.0,GUATEMALA_AMATITLAN_AL LAGO,"Ocio, recreo y/o vacaciones",500.0,3.0,1.0,11,33,BACHILLER CC LL,TRABAJA REPRESENTANTE DE VENTAS,Masculino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
2126,30040022,Si,Otros,No dispone de segunda vivienda,NINGUNO,3.0,4.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,13,32,BACHILLER CC LL,ADMINISTRADOR,Masculino,Sí,2.0,5.0,Visita a familiares y/o amigos,Casa de amigos o familiares,5.0,Por su cuenta,Vehículo,900.0,ESCUINTLA_NUEVA CONCEPCION_LA PLAYA EL TECOJATE
2127,30040022,Si,Otros,No dispone de segunda vivienda,NINGUNO,3.0,10.0,1.0,FALSO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,13,32,BACHILLER CC LL,ADMINISTRADOR,Masculino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
2129,5020031,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,2.0,3.0,SACATEPEQUEZ_ANTIGUA_ANTIGUA,"Ocio, recreo y/o vacaciones",100.0,1.0,1.0,11,25,PERITO EN DIBUJO TECNICO,ESTUDIANTE,Femenino,Sí,1.0,1.0,"Ocio, recreo y/o vacaciones",Casa de amigos o familiares,1.0,No organizó,Vehículo,800.0,PETEN_FLORES_ISLA DE FLORES
2130,5020031,Si,Semana Santa,No dispone de segunda vivienda,NINGUNO,3.0,10.0,3.0,SACATEPEQUEZ_ANTIGUA_ANTIGUA,"Ocio, recreo y/o vacaciones",100.0,1.0,1.0,11,25,PERITO EN DIBUJO TECNICO,ESTUDIANTE,Femenino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
2132,5020031,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,7.0,5.0,SACATEPEQUEZ_ANTIGUA_CENTRO HISTORICO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,12,46,BACHILLER EN CIENCIAS Y LETRAS,OPERADOR,Masculino,Sí,3.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,3100.0,ALTA VERAPAZ_LAQUIN_SEMUC CHAMPEY
2133,5020031,Si,Vacaciones personales,No dispone de segunda vivienda,NINGUNO,3.0,6.0,5.0,SACATEPEQUEZ_ANTIGUA_CENTRO HISTORICO,"Ocio, recreo y/o vacaciones",500.0,4.0,1.0,12,46,BACHILLER EN CIENCIAS Y LETRAS,OPERADOR,Masculino,No,1.0,4.0,"Ocio, recreo y/o vacaciones",Hotel o similares,4.0,Por su cuenta,Vehículo,0.0,CHIQUIMULA_ESQUIPULAS_BASILICA
